time msd[001] ave
2850 22.3908 16.5342 
2855 22.4689 16.5905 
2860 22.5472 16.6467 
2865 22.6255 16.7032 
2870 22.704 16.7602 
2875 22.7833 16.8171 
2880 22.863 16.8741 
2885 22.9427 16.9311 
2890 23.0226 16.9886 
2895 23.1037 17.0456 
2900 23.1852 17.1025 
2905 23.2669 17.1594 
2910 23.3485 17.2169 
2915 23.4297 17.2748 
2920 23.5113 17.333 
2925 23.5937 17.3911 
2930 23.6765 17.449 
2935 23.7594 17.5072 
2940 23.8425 17.5656 
2945 23.9255 17.6242 
2950 24.0091 17.6824 
2955 24.0924 17.7413 
2960 24.1759 17.8001 
2965 24.2592 17.8593 
2970 24.343 17.9182 
2975 24.4273 17.9768 
2980 24.5113 18.0358 
2985 24.5958 18.0949 
2990 24.681 18.1535 
2995 24.7664 18.2121 
3000 24.8515 18.2713 
3005 24.9365 18.3307 
3010 25.0223 18.3896 
3015 25.1075 18.4491 
3020 25.1924 18.5089 
3025 25.2767 18.5695 
3030 25.3615 18.6295 
3035 25.4465 18.6894 
3040 25.532 18.7494 
3045 25.6176 18.8093 
3050 25.7029 18.8696 
3055 25.7877 18.9304 
3060 25.8729 18.9912 
3065 25.9573 19.0525 
3070 26.0421 19.1137 
3075 26.1278 19.1745 
3080 26.2143 19.2349 
3085 26.3008 19.2952 
3090 26.3874 19.3556 
3095 26.4732 19.4164 
3100 26.5585 19.4777 
3105 26.6433 19.5398 
3110 26.7289 19.6013 
3115 26.8146 19.6627 
3120 26.8993 19.7251 
3125 26.9845 19.7871 
3130 27.0693 19.8491 
3135 27.1541 19.9115 
3140 27.2395 19.9737 
3145 27.3241 20.0367 
3150 27.4085 20.0998 
3155 27.4934 20.1626 
3160 27.5782 20.2257 
3165 27.6631 20.289 
3170 27.7481 20.3526 
3175 27.8329 20.4165 
3180 27.9178 20.4805 
3185 28.0021 20.545 
3190 28.0873 20.6092 
3195 28.1731 20.6736 
3200 28.2591 20.7378 
3205 28.345 20.8019 
3210 28.4306 20.8663 
3215 28.516 20.9313 
3220 28.6011 20.9964 
3225 28.6865 21.0615 
3230 28.7723 21.1262 
3235 28.8578 21.1912 
3240 28.9438 21.2561 
3245 29.0307 21.3206 
3250 29.1185 21.3847 
3255 29.2069 21.4484 
3260 29.2961 21.5118 
3265 29.3868 21.5741 
3270 29.4775 21.6363 
3275 29.5695 21.6979 
3280 29.6621 21.7595 
3285 29.7542 21.8218 
3290 29.846 21.8845 
3295 29.9383 21.947 
3300 30.0316 22.0089 
3305 30.1249 22.0713 
3310 30.219 22.1332 
3315 30.3136 22.1948 
3320 30.4097 22.2553 
3325 30.5062 22.3157 
3330 30.6027 22.3758 
3335 30.6999 22.4356 
3340 30.7978 22.4946 
3345 30.8957 22.5537 
3350 30.9939 22.6124 
3355 31.092 22.6718 
3360 31.1894 22.7322 
3365 31.2874 22.7922 
3370 31.3858 22.8519 
3375 31.4842 22.9119 
3380 31.5834 22.9716 
3385 31.6822 23.032 
3390 31.7806 23.0929 
3395 31.8791 23.1543 
3400 31.9782 23.2155 
3405 32.077 23.2768 
3410 32.1754 23.3387 
3415 32.2738 23.4013 
3420 32.3727 23.4636 
3425 32.4709 23.5266 
3430 32.5688 23.5898 
3435 32.6674 23.6525 
3440 32.7658 23.7155 
3445 32.8637 23.7793 
3450 32.9637 23.8417 
3455 33.0648 23.9034 
3460 33.1669 23.9646 
3465 33.2677 24.0265 
3470 33.3676 24.0893 
3475 33.4673 24.1524 
3480 33.5668 24.216 
3485 33.6652 24.2808 
3490 33.7636 24.3458 
3495 33.8623 24.4106 
3500 33.9605 24.4755 
